Component,Property,Variant,State,"Token ""Nickname""",Dark Value,Dark Opacity,Light Value,Light Opacity,Implemented on iOS,Implemented on Android,Implemented on the Component Library
RadioOrCheckbox,Background,Default,Default,radioOrCheckboxBackground,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckbox,Border,Default,Default,radioOrCheckboxBorder,Primary/400,100%,Primary/600,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Hover,radioOrCheckboxBackgroundHover,Primary/900,100%,Primary/100,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Checked,radioOrCheckboxBackgroundChecked,Primary/400,100%,Primary/600,100%,No,No,Yes
RadioOrCheckbox,Icon,Default,Default,radioOrCheckboxIcon,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Disabled,radioOrCheckboxBackgroundDisabled,NightSky/900,100%,Gray/100,100%,No,No,Yes
RadioOrCheckbox,Border,Default,Disabled,radioOrCheckboxBorderDisabled,Primary/700,100%,Primary/300,100%,No,No,Yes
RadioOrCheckbox,Background,Default,DisabledAndChecked,radioOrCheckboxBackgroundDisabledAndChecked,Primary/400,30%,Primary/600,30%,No,No,Yes
RadioOrCheckboxLabel,Text,Default,Default,radioOrCheckboxLabelText,Gray/300,100%,Gray/700,100%,No,No,Yes
RadioOrCheckboxLabel,Text,Default,Checked,radioOrCheckboxLabelTextChecked,Primary/300,100%,Primary/700,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Default,radioOrCheckboxCardBackground,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Checked,radioOrCheckboxCardBackgroundChecked,Primary/975,100%,Primary/50,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Disabled,radioOrCheckboxCardBackgroundDisabled,NightSky/975,100%,Gray/50,100%,No,No,Yes
RadioOrCheckboxCard,Border,Default,Default,radioOrCheckboxCardBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
RadioOrCheckboxCard,Border,Default,Checked,radioOrCheckboxCardBorderChecked,Primary/400,100%,Primary/600,100%,No,No,Yes
RadioOrCheckboxCard,Border,Default,Disabled,radioOrCheckboxCardBorderDisabled,Gray/800,100%,Gray/200,100%,No,No,Yes
RadioOrCheckboxCardSecondTier,Background,Default,Default,radioOrCheckboxCardSecondTierBackground,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckboxCardSecondTier,Background,Default,Disabled,radioOrCheckboxCardSecondTierBackgroundDisabled,NightSky/975,100%,Gray/50,100%,No,No,Yes
HeroIcon,Background,Primary,Default,heroIconBackgroundPrimary,Primary/800,100%,Primary/100,100%,No,No,Yes
HeroIcon,Border,Primary,Default,heroIconBorderPrimary,Primary/900,100%,Primary/50,100%,No,No,Yes
HeroIcon,Icon,Primary,Default,heroIcoIconPrimary,Primary/300,100%,Primary/700,100%,No,No,Yes
HeroIcon,Background,Gray,Default,heroIconBackgroundGray,Gray/700,100%,Gray/100,100%,No,No,Yes
HeroIcon,Border,Gray,Default,heroIconBorderGray,Gray/800,100%,Gray/50,100%,No,No,Yes
HeroIcon,Icon,Gray,Default,heroIcoIconGray,Gray/400,100%,Gray/600,100%,No,No,Yes
HeroIcon,Background,Green,Default,heroIconBackgroundGreen,Green/800,100%,Green/100,100%,No,No,Yes
HeroIcon,Border,Green,Default,heroIconBorderGreen,Green/900,100%,Green/50,100%,No,No,Yes
HeroIcon,Icon,Green,Default,heroIcoIconGreen,Green/400,100%,Green/600,100%,No,No,Yes
HeroIcon,Background,Red,Default,heroIconBackgroundRed,Red/800,100%,Red/100,100%,No,No,Yes
HeroIcon,Border,Red,Default,heroIconBorderRed,Red/900,100%,Red/50,100%,No,No,Yes
HeroIcon,Icon,Red,Default,heroIcoIconRed,Red/300,100%,Red/600,100%,No,No,Yes
HeroIcon,Background,Yellow,Default,heroIconBackgroundYellow,Yellow/600,100%,Yellow/100,100%,No,No,Yes
HeroIcon,Border,Yellow,Default,heroIconBorderYellow,Yellow/700,100%,Yellow/50,100%,No,No,Yes
HeroIcon,Icon,Yellow,Default,heroIcoIconYellow,Yellow/300,100%,Yellow/600,100%,No,No,Yes
FileUploader,Background,Default,Default,fileUploaderBackground,NightSky/950,100%,Gray/50,100%,No,No,Yes
FileUploader,Border,Default,Default,fileUploaderBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
FileUploader,Background,Default,Active,fileUploaderBackgroundActive,Primary/950,100%,Primary/50,100%,No,No,Yes
FileUploader,Border,Default,Active,fileUploaderBorderActive,Primary/700,100%,Primary/300,100%,No,No,Yes
FileUploader,Border,Default,Disabled,fileUploaderBorderDisabled,NightSky/900,100%,Gray/100,100%,No,No,Yes
FileUploader,Link,Default,Default,fileUploaderLink,Primary/500,100%,Primary/600,100%,No,No,Yes
FileUploader,Link,Default,Hover,fileUploaderHover,Primary/400,100%,Primary/700,100%,No,No,Yes
FileUploader,Text,Default,Default,fileUploaderText,Gray/300,100%,Gray/700,100%,No,No,Yes
FileUploader,Text,Default,Disabled,fileUploaderTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
FileUploader,Background,Uploading,Default,fileUploaderBackgroundUploading,Primary/900,100%,Primary/50,100%,No,No,Yes
FileUploader,Background,Uploaded,Default,fileUploaderBackgroundUploaded,Green/900,100%,Green/50,100%,No,No,Yes
FileUploader,Background,Error,Default,fileUploaderBackgroundError,Red/900,100%,Red/50,100%,No,No,Yes
FileUploader,Text,Uploading,Default,fileUploaderTextUploading,Primary/200,100%,Primary/800,100%,No,No,Yes
FileUploader,Text,Uploaded,Default,fileUploaderTextUploaded,Green/200,100%,Green/800,100%,No,No,Yes
FileUploader,Text,Error,Default,fileUploaderTextError,Red/200,100%,Red/800,100%,No,No,Yes
HeroInputLabel,Text,Default,Default,heroInputLabelText,Gray/400,100%,Gray/600,100%,No,No,Yes
HeroInputLabel,Text,Default,Disabled,heroInputLabelTextDisabled,Gray/600,100%,Gray/400,100%,No,No,Yes
HeroInputHelper,Icon,Default,Default,heroInputHelperIcon,Gray/600,100%,Gray/400,100%,No,No,Yes
HeroInputInfos,Text,Default,Default,heroInputInfosText,Gray/400,100%,Gray/600,100%,No,No,Yes
HeroInputForm,Background,Default,Default,heroInputFormBackground,NightSky/900,100%,Primary/100,100%,No,No,Yes
HeroInputForm,Background,Default,Disabled,heroInputFormBackgroundDisabled,Gray/850,100%,Gray/100,100%,No,No,Yes
HeroInputForm,Text,Default,Default,heroInputFormText,Primary/500,100%,Primary/600,100%,No,No,Yes
HeroInputForm,Text,Default,Disabled,heroInputFormTextDisabled,Gray/700,100%,Gray/300,100%,No,No,Yes
HeroInputError,Text,Default,Default,heroInputFormErrorText,Red/300,100%,Red/700,100%,No,No,Yes
Incrementer,Text,Default,Default,incrementerText,Gray/100,100%,Gray/900,100%,No,No,Yes
IncrementerButton,Text,Default,Default,incrementerButtonText,Gray/300,100%,Gray/700,100%,No,No,Yes
IncrementerButton,Border,Default,Default,incrementerButtonBorder,Gray/600,100%,Gray/300,100%,No,No,Yes
Incrementer,Background,Default,Disabled,incrementerBackgroundDisabled,NightSky/950,100%,Gray/50,100%,No,No,Yes
Switch,Track,Default,Default,switchTrack,Gray/100,100%,White,100%,No,No,Yes
Switch,Track,Default,Checked,switchTrackChecked,Primary/500,100%,Primary/600,100%,No,No,Yes
Switch,Thumb,Default,Default,switchTrack,Gray/300,100%,White,100%,No,No,Yes
Switch,Thumb,Default,Checked,switchTrackChecked,Primary/500,100%,Primary/600,100%,No,No,Yes
Switch,Label,Default,Default,switchLabel,Gray/200,100%,Gray/800,100%,No,No,Yes
SignatureField,Background,Default,Default,signatureFieldBackground,Primary/950,100%,Primary/50,100%,No,No,Yes
SignatureField,Border,Default,Active,signatureFieldBorderActive,Primary/700,100%,Primary/300,100%,No,No,Yes
SignatureField,Border,Default,Error,signatureFieldBorderError,Red/400,100%,Red/600,100%,No,No,Yes
SignatureField,Placeholder,Default,Default,signatureFieldPlaceholder,Gray/500,100%,Gray/400,100%,No,No,Yes
SignatureField,Text,Default,Default,signatureFieldText,Gray/200,100%,Gray/800,100%,No,No,Yes
SignatureField,Label,Default,Default,signatureFieldLabel,Gray/400,100%,Gray/500,100%,No,No,Yes
SignatureField,Shadow,Default,Focus,signatureFieldShadowFocus,Primary/900,100%,Primary/100,100%,No,No,Yes
